project_name,filename,filepath,commit_id,parent_commit,#different_loc
Hystrix,HystrixCommandMetricsTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandMetricsTest.java,fa4b7e2c1e,745eeaa123,77
Hystrix,HystrixCommandProperties.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommandProperties.java,727cbebe11,a2c5112356,6
Hystrix,HystrixCommandProperties.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommandProperties.java,7f031e5052,56527c4788,50
Hystrix,HystrixCommandProperties.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommandProperties.java,a2c5112356,584340f663,57
Hystrix,HystrixCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,110b6fe3af,c742c2b6cf,1021
Hystrix,HystrixCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,12873a672e,9cb86eca80,2262
Hystrix,HystrixCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,281add5005,ef3735f65b,2262
Hystrix,HystrixCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,302fa7068f,5c001760e1,85
Hystrix,HystrixCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,3f697be058,863d7ab54a,2613
Hystrix,HystrixCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,a2ec5b4c82,24c01e888a,12
Hystrix,HystrixCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,b0d986944e,6ab45a9179,69
Hystrix,HystrixCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,d7cff232ae,19d8a8119f,336
Hystrix,HystrixCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,d885372c6a,dafbded9be,1491
Hystrix,HystrixCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,e595fd024b,a61e0797be,2
