project_name,filename,filepath,commit_id,parent_commit,#different_loc
CrateDB,PlannerTest.java,sql/src/test/java/io/crate/planner/PlannerTest.java,411367755f,8.31E+14,166
CrateDB,QueryStats.java,enterprise/jmx-monitoring/src/main/java/io/crate/beans/QueryStats.java,c5d73ef825,f5238b3023,45
CrateDB,RegexMatcherTest.java,sql/src/test/java/io/crate/operation/scalar/regex/RegexMatcherTest.java,af282bc90d,6750b8bdaf,7
CrateDB,RelationNormalizer.java,sql/src/main/java/io/crate/analyze/relations/RelationNormalizer.java,8c761ca341,c8884e4b55,346
CrateDB,SQLGrammarTokenManager.java,sql/src/main/java/org/cratedb/sql/parser/parser/SQLGrammarTokenManager.java,b488e2df06,ec00dff5e9,1946
CrateDB,SQLTransportExecutor.java,sql/src/test/java/io/crate/testing/SQLTransportExecutor.java,383d390614,5b458889d8,35
CrateDB,Statement.g,sql-parser/src/main/java/io/crate/sql/parser/Statement.g,446549829,c5f5677a94,68
CrateDB,TransportSQLActionTest.java,sql/src/test/java/org/cratedb/integrationtests/TransportSQLActionTest.java,7d5e914b76,795d5d1e24,36
CrateDB,TransportSQLReduceHandler.java,sql/src/main/java/org/cratedb/action/TransportSQLReduceHandler.java,3d976f8fc5,09f2ab9d81,104
CrateDB,UpdateConsumer.java,sql/src/main/java/io/crate/planner/consumer/UpdateConsumer.java,09443007c1,67a694a70b,8
CrateDB,build.gradle,sql/build.gradle,ef1e9b5904,79efedd0b4,6
CrateDB,set.txt,docs/sql/reference/set.txt,0413cdeec2,d16c593a7a,188
JabRef,BasePanel.java,src/java/net/sf/jabref/BasePanel.java,e3c653c505,f475a2472e,51
JabRef,complex.bib,src/test/resources/testbib/complex.bib,fbc57073f6,8980713f22,36
JabRef,DoiResolutionTest.java,src/test/java/org/jabref/logic/importer/fetcher/DoiResolutionTest.java,9e2c010ba6,9475442557,5
JabRef,DroppedFileHandler.java,src/java/net/sf/jabref/external/DroppedFileHandler.java,c4919c4172,c541f1b0e0,379
JabRef,EntryEditor.java,src/java/net/sf/jabref/EntryEditor.java,76773e6892,c147cc922b,1437
JabRef,EntryTableModel.java,src/java/net/sf/jabref/EntryTableModel.java,a7808fe7d4,51f5b9419e,24
JabRef,EntryTableTransferHandler.java,src/java/net/sf/jabref/groups/EntryTableTransferHandler.java,9ff174146a,0d00a26278,2
JabRef,ExternalTab.java,src/main/java/net/sf/jabref/ExternalTab.java,0f0aa00483,01641580cf,35
JabRef,GroupsHelp.html,src/help/GroupsHelp.html,3688e97895,08013bce48,239
JabRef,GUIGlobals.java,src/java/net/sf/jabref/GUIGlobals.java,edb018546a,f0bc829308,39
JabRef,ImportFormats.java,src/main/java/net/sf/jabref/gui/importer/ImportFormats.java,06d0753b8f,63baf6f442,19
JabRef,ImportMenuItem.java,src/main/java/net/sf/jabref/importer/ImportMenuItem.java,e7d56051ef,ca4e82979c,2
JabRef,JabRef_de.properties,src/main/resources/l10n/JabRef_de.properties,7a6b7692da,0ee9f00064,30
JabRef,JabRef_en.properties,src/resource/JabRef_en.properties,a4617e92f5,6217d73cdb,38
JabRef,JabRef_es.properties,src/main/resources/l10n/JabRef_es.properties,5611ce0bbf,82b5b7cc70,178
JabRef,JabRef_fr.properties,src/main/resources/l10n/JabRef_fr.properties,a3d7c504da,1cc3493d9b,13
JabRef,JabRef_ja.properties,src/main/resources/l10n/JabRef_ja.properties,4152573bef,a968afc298,457
JabRef,JabRef_ja.properties,src/main/resources/l10n/JabRef_ja.properties,42f670237c,00ac6d8b43,17
JabRef,JabRef_nl.properties,src/main/resources/l10n/JabRef_nl.properties,8258ddcff6,627f59a687,164
JabRef,JabRef_no.properties,src/resource/JabRef_no.properties,0691b7f0fd,3a4695e5ca,342
JabRef,JabRef_sv.properties,src/main/resources/l10n/JabRef_sv.properties,4152573bef,a968afc298,2870
JabRef,JabRef_tr.properties,src/main/resources/l10n/JabRef_tr.properties,94f3d138ab,e75f6da022,92
JabRef,JabRef_zh.properties,src/resource/JabRef_zh.properties,c95b1eaf46,ad7eede90b,519
JabRef,JabRefFrame.java,src/main/java/org/jabref/gui/JabRefFrame.java,4e85103a65,26bb54598a,1615
JabRef,JabRefFrame.java,src/main/java/org/jabref/gui/JabRefFrame.java,d7d00a8f5d,b246b9ce53,135
JabRef,JabRefPreferences.java,src/main/java/net/sf/jabref/preferences/JabRefPreferences.java,2e9e7c89f9,a52d657226,254
JabRef,ManageJournalsPanel.java,src/java/net/sf/jabref/journals/ManageJournalsPanel.java,8991d4aea7,de70a2e4e5,2
JabRef,RegExpFileSearch.java,src/main/java/net/sf/jabref/external/RegExpFileSearch.java,60e554082a,32a64a6e22,6
JabRef,RemoteListener.java,src/main/java/net/sf/jabref/remote/RemoteListener.java,3f39d6ccd5,11dbd36f28,69
JabRef,RightClickMenu.java,src/java/net/sf/jabref/RightClickMenu.java,a9e89063b1,c6f00894ee,12
JabRef,SidePaneManager.java,src/java/net/sf/jabref/SidePaneManager.java,34ffe32ac4,ab2da3bc83,165
JabRef,StringAddChange.java,src/java/net/sf/jabref/collab/StringAddChange.java,59850dae3d,16f9c94be1,13
Openmicroscopy,AgentEventListener.java,SRC/org/openmicroscopy/shoola/env/event/AgentEventListener.java,0243fdd2ba,e5924527fa,2
Openmicroscopy,BorderListener.java,SRC/org/openmicroscopy/shoola/env/ui/tdialog/BorderListener.java,0243fdd2ba,e5924527fa,2
Openmicroscopy,BrowserControl.java,SRC/org/openmicroscopy/shoola/agents/imviewer/browser/BrowserControl.java,e5924527fa,8eee37fac5,2
Openmicroscopy,ButtonMenu.java,SRC/org/openmicroscopy/shoola/util/ui/ButtonMenu.java,0243fdd2ba,e5924527fa,2
